ACARA_ID,School_Name,Suburb,State,Postcode,Type,Sector,Status,Geolocation,Parent_School ID,AGE_ID,Latitude,Longitude
47443,Pimlico State High School,Gulliver,QLD,4812,Secondary,Gov,Open,Outer Regional,47443,53019,-19.2887,146.783
49587,Pimpala Primary School,Morphett Vale,SA,5162,Primary,Gov,Open,Major Cities,49587,47205,-35.1128,138.53
51492,Pimpama State Primary College,Pimpama,QLD,4209,Primary,Gov,Open,Major Cities,51492,70280,-27.8333,153.322
46464,Pimpama State School,Pimpama,QLD,4209,Primary,Gov,Open,Major Cities,46464,51563,-27.8171,153.279
50536,Pimpama State Secondary College,Pimpama,QLD,4209,Secondary,Gov,Open,Major Cities,50536,70065,-27.8345,153.32
47133,Pindi Pindi State School,Pindi Pindi,QLD,4798,Primary,Gov,Open,Outer Regional,47133,52972,-20.8702,148.732
48087,Pine Community School,Arana Hills,QLD,4054,Primary,Non-Gov,Open,Major Cities,48087,44073,-27.3875,152.963
50116,Pine Creek School,Pine Creek,NT,847,Combined,Gov,Open,Remote,50116,47936,-13.8219,131.836
47588,Pine Rivers Special School,Lawnton,QLD,4501,Special,Gov,Open,Major Cities,47588,57467,-27.2827,152.984
47487,Pine Rivers State High School,Strathpine,QLD,4500,Secondary,Gov,Open,Major Cities,47487,52272,-27.2964,152.989
52762,Pine View Primary School,Baldivis,WA,6171,Primary,Gov,Open,Major Cities,52762,87061,-32.357887,115.811434
44882,Pinewood Primary School,Mount Waverley,VIC,3149,Primary,Gov,Open,Major Cities,44882,48899,-37.8902,145.142
48779,Pingelly Primary School,Pingelly,WA,6308,Primary,Gov,Open,Outer Regional,48779,65104,-32.5331,117.079
48487,Pingrup Primary School,Pingrup,WA,6343,Primary,Gov,Open,Remote,48487,52549,-33.5327,118.511
48488,Pinjarra Primary School,Pinjarra,WA,6208,Primary,Gov,Open,Major Cities,48488,52423,-32.6287,115.866
48149,Pinjarra Senior High School,Pinjarra,WA,6208,Secondary,Gov,Open,Major Cities,48149,52424,-32.6331,115.872
52898,Pinnacle Academic College,Kallangur,QLD,4503,Primary,Non-Gov,Open,Major Cities,52898,86700,-27.25323,152.9814
40966,Pinnacle College - Elizabeth East Campus,Elizabeth East,SA,5112,Combined,Non-Gov,Open,Major Cities,40966,62817,-34.7217,138.678
49863,Pinnacle College - Gilles Plains Campus,Gilles Plains,SA,5086,Combined,Non-Gov,Open,Major Cities,40966,77560,-34.8478,138.66
52758,Pinnacle College - Golden Grove,Golden Grove,SA,5125,Combined,Non-Gov,Open,Major Cities,40966,77211,-34.7855,138.71
47035,Pinnacle State School,Pinnacle,QLD,4741,Primary,Gov,Open,Outer Regional,47035,52942,-21.15,148.713
49449,Pinnaroo Primary School,Pinnaroo,SA,5304,Primary,Gov,Open,Remote,49449,47139,-35.2559,140.908
47547,Pioneer State High School,Andergrove,QLD,4740,Secondary,Gov,Open,Inner Regional,47547,52943,-21.0958,149.181
49051,Pioneer Village School,Armadale,WA,6112,Primary,Non-Gov,Open,Major Cities,49051,42761,-32.1502,116.024
49654,Pipalyatjara Anangu School,Pipalyatjara,SA,872,Combined,Gov,Open,Very Remote,49654,46102,-26.1625,129.172
41661,Pitt Town Public School,Pitt Town,NSW,2756,Primary,Gov,Open,Major Cities,41661,50749,-33.5844,150.86
47502,Pittsworth State High School,Pittsworth,QLD,4356,Secondary,Gov,Open,Inner Regional,47502,51954,-27.7096,151.646
46667,Pittsworth State School,Pittsworth,QLD,4356,Primary,Gov,Open,Inner Regional,46667,51953,-27.7185,151.634
41333,Pittwater High School,Mona Vale,NSW,2103,Secondary,Gov,Open,Major Cities,41333,47716,-33.6683,151.303
50500,Pittwater House Schools,Collaroy,NSW,2097,Combined,Non-Gov,Open,Major Cities,50500,69740,-33.7409,151.291
