ACARA_ID,School_Name,Suburb,State,Postcode,Type,Sector,Status,Geolocation,Parent_School ID,AGE_ID
50163,Gawa Christian School,Galiwinku,NT,822,Combined,Non-Gov,Open,Very Remote,50163,58020
49458,Gawler and District College B-12,Evanston,SA,5116,Combined,Gov,Open,Major Cities,49458,47157
49564,Gawler East Primary School,Gawler East,SA,5118,Primary,Gov,Open,Major Cities,49564,47160
49169,Gawler Primary School,Gawler,SA,5118,Primary,Gov,Open,Major Cities,49169,47161
46428,Gayndah State School,Gayndah,QLD,4625,Primary,Gov,Open,Outer Regional,46428,52683
47614,Geebung Special School,Geebung,QLD,4034,Special,Gov,Open,Major Cities,47614,57934
47084,Geebung State School,Geebung,QLD,4034,Primary,Gov,Open,Major Cities,47084,51166
46370,Geelong Baptist College,Lovely Banks,VIC,3213,Combined,Non-Gov,Open,Major Cities,46370,57709
44102,Geelong East Primary School,Geelong East,VIC,3219,Primary,Gov,Open,Major Cities,44102,49569
50402,Geelong Grammar School - Corio Campus,Corio,VIC,3214,Combined,Non-Gov,Open,Major Cities,50402,69065
50412,Geelong Grammar School - Bostock House Campus,Newtown,VIC,3220,Combined,Non-Gov,Open,Major Cities,50402,77599
50411,Geelong Grammar School - Timbertop Campus,Mansfield,VIC,3722,Combined,Non-Gov,Open,Outer Regional,50402,77598
50413,Geelong Grammar School - Toorak campus,Toorak,VIC,3142,Combined,Non-Gov,Open,Major Cities,50402,77600
45391,Geelong High School,East Geelong,VIC,3219,Secondary,Gov,Open,Major Cities,45391,49570
46388,Geelong Lutheran College,Armstrong Creek,VIC,3217,Combined,Non-Gov,Open,Major Cities,46388,65990
44428,Geelong South Primary School,South Geelong,VIC,3220,Primary,Gov,Open,Major Cities,44428,49579
40057,Geeveston Primary School,Geeveston,TAS,7116,Primary,Gov,Open,Outer Regional,40057,46609
46439,Geham State School,Geham,QLD,4352,Primary,Gov,Open,Inner Regional,46439,51913
44474,Gembrook Primary School,Gembrook,VIC,3783,Primary,Gov,Open,Major Cities,44474,51822
45752,Genazzano FCJ College,Kew,VIC,3101,Combined,Non-Gov,Open,Major Cities,45752,40792
48062,Genesis Christian College,Bray Park,QLD,4500,Combined,Non-Gov,Open,Major Cities,48062,53491
40002,Geneva Christian College,Latrobe,TAS,7307,Combined,Non-Gov,Open,Outer Regional,40002,40005
48856,Geographe Education Support Centre,Busselton,WA,6280,Special,Gov,Open,Inner Regional,48856,57855
48755,Geographe Primary School,Busselton,WA,6280,Primary,Gov,Open,Inner Regional,48755,57854
50704,George Bass School,Bass Hill,NSW,2197,Special,Gov,Open,Major Cities,50704,70138
44839,George Street Primary School - Hamilton,Hamilton,VIC,3300,Primary,Gov,Open,Inner Regional,44839,49951
41429,Georges Hall Public School,Georges Hall,NSW,2198,Primary,Gov,Open,Major Cities,41429,48572
41188,Georges River College Hurstville Boys Campus,Hurstville,NSW,2220,Secondary,Gov,Open,Major Cities,41188,8631
40681,Georges River College Oatley Senior Campus,Oatley,NSW,2223,Secondary,Gov,Open,Major Cities,40681,57056
41171,Georges River College Peakhurst Campus,Peakhurst,NSW,2210,Secondary,Gov,Open,Major Cities,41171,8606
41192,Georges River College Penshurst Girls Campus,Penshurst,NSW,2222,Secondary,Gov,Open,Major Cities,41192,8634
40750,Georges River Environmental Education Centre,Chipping Norton,NSW,2170,Special,Gov,Open,Major Cities,40750,64082
43874,Georges River Grammar,Georges Hall,NSW,2198,Combined,Non-Gov,Open,Major Cities,43874,48776
46536,Georgetown State School,Georgetown,QLD,4871,Primary,Gov,Open,Very Remote,46536,53127
49119,Georgiana Molloy Anglican School,Yalyalup,WA,6280,Combined,Non-Gov,Open,Inner Regional,49119,56332
49058,Geraldton Christian College,Strathalbyn,WA,6530,Combined,Non-Gov,Open,Outer Regional,49058,42723
40852,Geraldton Flexible Learning Centre,Geraldton,WA,6530,Special,Non-Gov,Open,Outer Regional,40852,68992
52753,Geraldton Flexible Learning Centre - Carnarvon Campus,Carnarvon,WA,6701,Special,Non-Gov,Open,Very Remote,40852,85963
49109,Geraldton Grammar School,Geraldton,WA,6530,Combined,Non-Gov,Open,Outer Regional,49109,54590
48375,Geraldton Primary School,Geraldton,WA,6530,Primary,Gov,Open,Outer Regional,48375,52654
40727,Geraldton Senior High School,Geraldton,WA,6530,Secondary,Gov,Open,Outer Regional,40727,58182
49172,Geranium Primary School,Geranium,SA,5301,Primary,Gov,Open,Outer Regional,49172,47323
43703,German International School Sydney,Terrey Hills,NSW,2084,Combined,Non-Gov,Open,Major Cities,43703,53342
42570,Gerogery Public School,Gerogery,NSW,2642,Primary,Gov,Open,Inner Regional,42570,50453
